1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.316631	0.000000	16.673364	0.006302	276.2
1	-0.335639	0.000000	16.673364	0.005596	1.0
2	-0.330025	0.000000	16.673364	0.007979	1.0
3	-0.338716	0.000000	16.673364	0.005983	0.9
4	-0.330928	0.000000	16.673364	0.006278	0.9
5	-0.319252	0.000000	16.673364	0.004071	1.0
6	-0.328245	0.000000	16.673364	0.005748	1.0
7	-0.336294	0.000000	16.673364	0.005246	1.0
8	-0.327700	0.000000	16.673364	0.005772	0.9
9	-0.343126	0.995758	15.918554	0.009805	1.0
10	-0.320079	0.479924	16.300833	0.003367	0.9
11	-0.338229	1.479563	15.575954	0.005772	1.0
12	-0.326003	2.441142	14.937013	0.005560	0.9
13	-0.355967	1.925395	15.273047	0.006409	1.0
14	-0.309563	1.414210	15.621370	0.006427	0.9
15	-0.354921	0.898509	15.989246	0.007073	0.9
16	-0.333686	0.529232	16.263499	0.012116	1.0
17	-0.332301	1.516201	15.550610	0.006249	1.0
18	-0.333655	1.000368	15.915218	0.008265	0.9
19	-0.326180	0.484821	16.297117	0.004021	0.9
20	-0.322718	0.000000	16.673364	0.005761	0.9
21	-0.306889	0.000000	16.673364	0.003080	1.0
22	-0.313704	0.000000	16.673364	0.004711	1.0
23	-0.334766	0.970991	15.936498	0.008026	0.9
24	-0.314352	0.455159	16.319648	0.005407	0.9
25	-0.342107	0.000000	16.673364	0.007461	1.0
26	-0.349127	0.000000	16.673364	0.005030	1.0
27	-0.321291	0.000000	16.673364	0.007059	0.9
28	-0.334614	0.000000	16.673364	0.007696	0.9
29	-0.342555	0.000000	16.673364	0.004391	0.9
30	-0.326336	0.000000	16.673364	0.008791	1.0
31	-0.330812	0.999974	15.915503	0.008429	0.9
32	-0.312179	0.484986	16.296993	0.008331	0.9
33	-0.347974	0.000000	16.673364	0.010118	1.0
34	-0.331146	0.996829	15.917779	0.007098	0.9
35	-0.345291	1.564594	15.517259	0.008124	1.0
36	-0.349576	1.066927	15.867214	0.008750	0.9
37	-0.351543	0.551094	16.247001	0.007510	1.0
38	-0.338387	0.035507	16.645221	0.010161	1.0
39	-0.341296	0.000000	16.673364	0.004433	0.9
40	-0.324293	0.000000	16.673364	0.005106	1.0
41	-0.320656	0.000000	16.673364	0.004385	0.9
